AodhanORiordan	Aodhán-Ó-Ríordáin.D.2011-03-09	https://data.oireachtas.ie/ie/oireachtas/member/id/Aodhán-Ó-Ríordáin.D.2011-03-09
ArchieHeron	Archie-Heron.D.1937-07-21	https://data.oireachtas.ie/ie/oireachtas/member/id/Archie-Heron.D.1937-07-21
ArchieJCassidy	Archie-J-Cassidy.D.1927-10-11	https://data.oireachtas.ie/ie/oireachtas/member/id/Archie-J-Cassidy.D.1927-10-11
ArtOConnor	Art-O'Connor.D.1919-01-21	https://data.oireachtas.ie/ie/oireachtas/member/id/Art-O'Connor.D.1919-01-21
ArthurEdwardClery	Prof-Arthur-Edward-Clery.D.1927-06-23	https://data.oireachtas.ie/ie/oireachtas/member/id/Prof-Arthur-Edward-Clery.D.1927-06-23
ArthurGriffith	Arthur-Griffith.D.1919-01-21	https://data.oireachtas.ie/ie/oireachtas/member/id/Arthur-Griffith.D.1919-01-21
ArthurMatthews	Arthur-Matthews.D.1927-10-11	https://data.oireachtas.ie/ie/oireachtas/member/id/Arthur-Matthews.D.1927-10-11
ArthurMorganSF	Arthur-Morgan.D.2002-06-06	https://data.oireachtas.ie/ie/oireachtas/member/id/Arthur-Morgan.D.2002-06-06
ArthurSpring	Arthur-Spring.D.2011-03-09	https://data.oireachtas.ie/ie/oireachtas/member/id/Arthur-Spring.D.2011-03-09
AustinCurrie	Austin-Currie.D.1989-06-29	https://data.oireachtas.ie/ie/oireachtas/member/id/Austin-Currie.D.1989-06-29
AustinDeasy	Austin-Deasy.S.1973-06-01	https://data.oireachtas.ie/ie/oireachtas/member/id/Austin-Deasy.S.1973-06-01
AustinStack	Austin-Stack.D.1919-01-21	https://data.oireachtas.ie/ie/oireachtas/member/id/Austin-Stack.D.1919-01-21
AverilPower	Averil-Power.S.2011-05-25	https://data.oireachtas.ie/ie/oireachtas/member/id/Averil-Power.S.2011-05-25
AvrilDoyle	Avril-Doyle.D.1982-12-14	https://data.oireachtas.ie/ie/oireachtas/member/id/Avril-Doyle.D.1982-12-14
BarryAndrewsFF	Barry-Andrews.D.2002-06-06	https://data.oireachtas.ie/ie/oireachtas/member/id/Barry-Andrews.D.2002-06-06
BarryCogan	Barry-Cogan.D.1977-07-05	https://data.oireachtas.ie/ie/oireachtas/member/id/Barry-Cogan.D.1977-07-05
BarryCowen	Barry-Cowen.D.2011-03-09	https://data.oireachtas.ie/ie/oireachtas/member/id/Barry-Cowen.D.2011-03-09
BarryDesmond	Barry-Desmond.D.1969-07-02	https://data.oireachtas.ie/ie/oireachtas/member/id/Barry-Desmond.D.1969-07-02
BarryMEgan	Barry-Michael-Egan.D.1927-06-23	https://data.oireachtas.ie/ie/oireachtas/member/id/Barry-Michael-Egan.D.1927-06-23
BarryWard	Barry-Ward.S.2020-03-30	https://data.oireachtas.ie/ie/oireachtas/member/id/Barry-Ward.S.2020-03-30
BartOConnor	Bartholomew-O'Connor.D.1924-03-19	https://data.oireachtas.ie/ie/oireachtas/member/id/Bartholomew-O'Connor.D.1924-03-19
