[<p eid="para_701">I ask Members to extend a warm céad míle fáilte to the new US Ambassador, H.E. Ms Claire D. Cronin, who is in the Distinguished Visitors Gallery. You are very welcome, Ambassador Cronin. We are delighted to have your presence.</p>]
[<p eid="para_721">I understand Deputies McDonald, Brady and Mac Lochlainn are sharing their time.</p>]
[<p eid="para_737">I am anxious to facilitate the Deputy's colleague, because it is Deputy Mac Lochlainn's time which the Deputy is eating into.</p>]
