SeanSherlock	Deputy Sean Sherlock	2012-10-24T16:50:00+01:00	Is it working in the Six Counties?
SeanSherlock	Deputy Sean Sherlock	2012-10-24T16:50:00+01:00	The Deputy's party is presiding over austerity in the Six Counties.
SeanSherlock	Deputy Sean Sherlock	2012-10-24T16:50:00+01:00	Perhaps the House might debate what Sinn Féin is doing there. Is it not in government in the Six Counties?
SeanSherlock	Deputy Sean Sherlock	2012-10-24T16:50:00+01:00	It is pursuing partitionist policies.
SeanSherlock	Deputy Sean Sherlock	2012-10-24T16:50:00+01:00	Sinn Féin has separate economic policies for the Twenty-six Counties and the Six Counties.
SeanSherlock	Deputy Sean Sherlock	2012-10-24T16:50:00+01:00	He should table a Private Members' motion on his party's economic policies.
SeanSherlock	Deputy Sean Sherlock	2012-10-24T16:50:00+01:00	The Deputy is speaking out of both sides of his mouth.
SeanSherlock	Deputy Sean Sherlock	2012-10-24T16:50:00+01:00	I am much closer to people than the Deputy believes.
SeanSherlock	Deputy Sean Sherlock	2012-10-24T17:20:00+01:00	Is that George Lee, the former Member?
SeanSherlock	Deputy Sean Sherlock	2012-10-24T19:30:00+01:00	It is good grub too. I have tasted it.
SeanSherlock	Deputy Sean Sherlock	2012-10-24T20:20:00+01:00	What is the Deputy insinuating?
