SeanSherlock	 Chairman	2018-04-18T13:30:00+01:00	I advise members to turn off their mobile phones or put them into airplane mode.
SeanSherlock	 Chairman	2018-04-18T13:40:00+01:00	The first petition for consideration is Petition No. P00025/17. The petitioner is seeking a legislative amendment to be included in budget 2018 to allow him, as a holder of an approved minimum retirement fund, AMRF, to make withdrawals subject to the same rules that applied when he made the investment in 2013. Do any members wish to contribute to this issue? No. It is proposed to forward a copy of the response from the Minister for Finance to the petitioner and to close the petition. Is that agreed? Agreed. The next petition for consideration is Petition No. P00033/17 from Mr. Robbie O'Sullivan regarding remote working as a means of reducing workplace commuting. The petitioner uses his own commute as an example. It is proposed to forward a copy of the response from the Department of Business, Enterprise and Innovation to the petitioner and to close the petition. Is that agreed? Agreed. The next petition-----
SeanSherlock	 Chairman	2018-04-18T13:40:00+01:00	Certainly. In terms of dealing with the specific petition before us I believe we have agreed an approach.
SeanSherlock	 Chairman	2018-04-18T13:40:00+01:00	There is a wider societal issue about how we facilitate more home working, but perhaps that is a discussion we could have at our next meeting. We will discuss the points the Senator is raising to see if we should correspond in the context of this petition about the wider societal issue. Is the Senator agreeable to that?
SeanSherlock	 Chairman	2018-04-18T13:40:00+01:00	The next petition for consideration is Petition No. P00030/17. It is proposed that we close the petition and correspond with the petitioner, informing them of this decision. Is that agreed? Agreed. The final petition is Petition No. P00047/17. It is proposed that we close the petition and correspond with the petitioner, informing them of this decision. Is that agreed? Agreed.
SeanSherlock	 Chairman	2018-04-18T13:40:00+01:00	Certainly. That is agreed.
SeanSherlock	 Chairman	2018-04-18T13:40:00+01:00	Not at all. This is the place to raise those issues.
